Digisol-DG-HR3400-300Mbps-Wireless-Broadband:
Sridhar Sivaraman,8 January 2017,Amazon,connection keeps dropping and when i look on the networks available my wifi is available but when i click connect its asking for password again   i type the password and it says wrong password !what i had to do was to reboot the router   then it connects fine   but this keeps happening about 3 times a day so not great,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Navin Kashyap,8 July 2017,Amazon,Pretty awesome in every which way. I get a signal even 3 floors below. Have never switched it off in 2 years!! No heating issues. Can be easily configured as a bridge or a repeater. I really like the Active client table and ability to set up temporary guest network.It unfortunately doesnt support ddwrt or openwrt. Sometimes some of my devices fail to connect even though they detect it  a quick reboot solves this.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Amazon Customer,25 January 2019,Amazon,This is the best router which covers wide area(signals) in this price range  i have used many routers like tp link   tenda   d link  but no other router gives signals like this one.. i covers my whole Home    and i even get its signal in the park front of my home.my home is around (1782.72 .sq .ft)  . and the the is double of it.. also i want to mention that i am using this router from almost around 3 years   nd i have placed my router at the center of my house  nd i am able to use my wifi behind 4 walls  easily.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Abhishek Ramesh,8 September 2016,Amazon,Its good for the price paid. range is decent   easy to configure and setup. Has a lot of features  and its definitely better than other chinese routers you can buy.Digisol needs some polishing up with their features like QOS and IP blocking  URL blocking ext though . i have to reconfigure the qos like everyday.overall i'd recommend this router,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No
Baldeep singh,10 April 2018,Amazon,crap product. Restarting every 5 seconds. Many people are facing same problem. Replaced product twice  all have same issue. No use of replacement at service center. Don't buy this.,Digisol-DG-HR3400-300Mbps-Wireless-Broadband,No,No

--------------------------------------------------
Digisol-wireless-micro-adapter-DG-WN3150Nu:
Rick,18 June 2018,Amazon,Pros:-1. Similar price to tp-link wifi adapter.2. It's made by an Indian networking manufacturing company "DIGISOL"  which will last longer than any Chinese counter part.3. Built quality is strong.4. Supports in Windows XP  Viata  7  8  8.1 and 10. (I have tested in all the OS)5. Don't forget to install the wireless wlan driver from the provided CD.6. Using it for last 3 years   it's still working fine and this is my second device.Cons:-1. Range of reception quality is not strong enough more than 10 metres.2. Not sure that it supports MacOS or Linux.3. Maximum bandwidth speed shows 72.2Mbps not 150Mbps (I don't know why).Overall It's a Indian product buy it blindly without any hesitation.Hit the "helpful" button at the end.Thank You!!,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
naba kumar kundu,14 March 2019,Amazon,It is the best in this price  range. The range is very good. Smooth running of internet from this. Better than many big brand items.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Rick,13 January 2016,Amazon,Works as given in description. I use it to create hotspots as well. speed is good. Driver installation should be downloadable from web. currently using it with a MediaTek application instead of the one provided because i dont have cd drive. :( but performance wise it's good,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Sudip,12 February 2017,Amazon,As always delivered before time by amazon.nicely packed. A very tiny usb drive less pricey but perfect one.using for more than 4 months no problem with it. it gives good connection speed no lagging or minimization speed issue.worth buy,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Abdul Hameed,20 October 2016,Amazon,The adapter gets heated very fast. The plastic cover is so tiny that it becomes difficult to insert and taking out of the USB port of the computer. Signal strength reception too is not up to the mark like other Digisol products.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Ruchi,20 August 2015,Amazon,Very good product.  Works great if you have 3g instead of 2g in your mobile to get internet from your mobile (with hotspot feature) to PC.  I wanted to have secondary net connection in my PC through my mobile when my broadband gets disconnected and this Digisol USB adapter does it effortlessly.P.S.: There was some tampering with the price in the packet.  Do compare before buying.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
naba kumar kundu,28 June 2018,Amazon,Its range is awsome & it can catch upto 4 mbps speed. I inspired from this product which is used in our office  and now I have purchased for my home also. In one ward it is cheap and best.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
SKD,20 March 2019,Amazon,Waste of money.Windows7 : it disconnects frequently.GNU/Linux: did not work at all.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazon Customer,11 May 2017,Amazon,You need to disconnect and connect it again as it resets once the computer is shut down or restarted..Other than that it is satisfactory and does the work it has been bought to do so.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Rick,28 January 2019,Amazon,Working without any problems,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
naba kumar kundu,7 November 2017,Amazon,,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazon Customer,16 December 2018,Amazon,good,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Romit Mukherjee,10 September 2017,Amazon,Doing well from day one.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
VISHAL DONGRE,5 November 2016,Amazon,Good wifi adapter  it's work on Windows XP sp3  till now I don't have any issues with it  I would like to recommed to others,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
J.J.A,4 June 2018,Amazon,instantly fixed the Wifi signal strength issue for my laptop,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Rajeev,10 June 2017,Amazon,working good for last 6 months.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazonist,14 October 2016,Amazon,Excellent product... connectivity is very fast... worth buying...,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
ssk,11 June 2018,Amazon,Good,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Rick,22 February 2017,Amazon,good,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
naba kumar kundu,4 April 2017,Amazon,Useless product. Software provided is not working. Cannot switch on hotspot,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazon Customer,30 December 2017,Amazon,Perfectly working... No issue yet. And using it with many devices and working fine with all,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Nabarun Roy,19 August 2016,Amazon,Meet my expectations ...... nice small and compact device to turn ur broadband connectivity into wifi. Now i can easil surf net on my phone  laptop & tab.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazon Customer,18 October 2017,Amazon,There is no good quality product.......... I can't give any star,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazon Customer,22 February 2017,Amazon,Satisfactory,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazon Customer,26 May 2017,Amazon,Good one. I have been using it for quite some time without any problem.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Balaji Dayal,3 November 2017,Amazon,I can carry it anywhere,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Shiju Thomas,25 January 2016,Amazon,Best product and loved to buying items with amazon,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Rick,6 February 2017,Amazon,Best Product... Small  and quick conductivity ... mast he yaar kharid lo.,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
naba kumar kundu,19 October 2017,Amazon,bahut achha hai desktop ke liye,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
UMESH CHANDRA PATEL,4 February 2019,Amazon,Best wireless adaptor,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazon Customer,23 October 2017,Amazon,Working fine,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
balasubramanian,17 September 2017,Amazon,Nice wifi hotspot to use. Good speed. Plug-in-play..,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
Amazon Customer,8 September 2018,Amazon,Detection problem,Digisol-wireless-micro-adapter-DG-WN3150Nu,No,No
